X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-117.814466056983,34.0495309668015,2878,211,,Education,Colleges and Universities,,www.csupomona.edu,California State Polytechnic University - Pomona,3801 W. Temple Ave.,,Pomona,CA,,"Admissions and Outreach Service/Intake and Administration (909) 869-3210, University General Information Service/Intake and Administration (909) 869-7659, Disability Resource Center Service/Intake (909) 869-3333, Disabled Students TDD TDD (909) 869-4178, ",www.csupomona.edu,,,3072,The University provides post-secondary education.,91768,http://egis3.lacounty.gov/lms/?p=3072,publish,34.049531,-117.814466,2013/06/01 11:50:56+00,,,6617872.62076098,1840457.55131681
-118.20125705638,33.7646159670052,2895,211,,Education,Colleges and Universities,,www.calstate.edu/executive/,"California State University, The - Office Of The Chancellor",401 Golden Shore,,Long Beach,CA,,"Public Affairs Office Service/Intake (562) 951-4800, Chancellor's Office Administrative (562) 951-4000",www.calstate.edu/executive/,,,3084,The Chancellor is chief executive officer of the 23 campus California State University system and an ex-officio member of the California State University Board of Trustees.,90802,http://egis3.lacounty.gov/lms/?p=3084,publish,33.764616,-118.201257,2013/06/01 11:50:56+00,,,6500497.60419914,1736779.64745256
-118.170923056474,34.0627689667456,2973,211,,Education,Colleges and Universities,,www.calstatela.edu,California State University Los Angeles,5151 State University Dr.,,Los Angeles,CA,,"Center for Student Financial Aid Service/Intake (323) 343-6260, Campus Tours Service/Intake (323) 343-3175, University General Information Information Only (323) 343-3000, Admissions Office Service/Intake (323) 343-3901, Extended Education Office Service/",www.calstatela.edu,,,3145,The university provides post-secondary education for people in Los Angeles County.,90032,http://egis3.lacounty.gov/lms/?p=3145,publish,34.062769,-118.170923,2013/06/01 11:50:56+00,,,6509902.21432689,1845267.25560814
-118.258111056663,34.0491379668605,3097,211,,Education,Colleges and Universities,,www.laccd.edu,Los Angeles Community College District,770 Wilshire Blvd.,,Los Angeles,CA,,Administrative (213) 891-2000,www.laccd.edu,,,3246,The district provides post-secondary education for people in Los Angeles.,90017,http://egis3.lacounty.gov/lms/?p=3246,publish,34.049138,-118.258111,2013/06/01 11:50:56+00,,,6483482.55588022,1840363.0416633
-118.282567056334,34.0254579666253,11961,HSIP Freedom CollegesUniversities,203049,Education,Colleges and Universities,,LA County,Hebrew Union College-Jewish Institute Of Religion,3077 University Ave,,Los Angeles,CA,,2137493424,www.huc.edu,,99,12778,,90007,http://egis3.lacounty.gov/lms/?p=12778,publish,34.025458,-118.282567,2010/11/01 19:50:56+00,,,6476050.06352739,1831765.38070907
-118.473909055943,34.3000099659892,11962,HSIP Freedom CollegesUniversities,244011,Education,Colleges and Universities,,LA County,Itt Technical Institute-Sylmar,12669 Encinitas Ave,,Sylmar,CA,,8183645151,www.itt-tech.edu,,999,12779,,91342,http://egis3.lacounty.gov/lms/?p=12779,publish,34.30001,-118.473909,2010/11/01 19:50:56+00,,,6418543.17394821,1931896.99671839
-118.3846510563,33.9876399665453,11963,HSIP Freedom CollegesUniversities,245838,Education,Colleges and Universities,,LA County,Antioch University-Los Angeles Branch,400 Corporate Pointe,,Culver City,CA,,3105781080,www.antiochla.edu,,686,12780,,90230,http://egis3.lacounty.gov/lms/?p=12780,publish,33.98764,-118.384651,2010/11/01 19:50:56+00,,,6445065.18652089,1818105.40179548
-118.151838056294,34.0818129673187,11964,HSIP Freedom CollegesUniversities,260789,Education,Colleges and Universities,,LA County,Platt College-Los Angeles,"1000 South Fremont Avenue, A9W",,Alhambra,CA,,6263005444,www.plattcollege.edu,,160,12781,,91803,http://egis3.lacounty.gov/lms/?p=12781,publish,34.081813,-118.151838,2010/11/01 19:50:56+00,,,6515693.02656414,1852188.4435374
-118.369383056596,34.063875966438,11965,HSIP Freedom CollegesUniversities,368780,Education,Colleges and Universities,,LA County,Los Angeles Ort Technical Institute,6435 Wilshire Blvd,,Los Angeles,CA,,3239665444,www.laort.edu,,176,12782,,90048,http://egis3.lacounty.gov/lms/?p=12782,publish,34.063876,-118.369383,2010/11/01 19:50:56+00,,,6449795.53992106,1845831.65769456
-118.389963055658,34.0328259671859,11966,HSIP Freedom CollegesUniversities,368805,Education,Colleges and Universities,,LA County,Everest College-West Los Angeles,3000 S Robertson Blvd #300,,Los Angeles,CA,,3108405777,www.everest.edu/campus/west_los_angeles,,173,12783,,90034,http://egis3.lacounty.gov/lms/?p=12783,publish,34.032826,-118.389963,2010/11/01 19:50:56+00,,,6443518.68206798,1834555.58510239
