,index,Store_Chain
0,Ralphs,100
1,Smart&final,74
2,Vons,69
3,Albertsons,61
4,Target,57
5,Mother_Nutrition,52
6,Food_4_Less,37
7,Sav_on_drug,36
8,Trader_joes,34
9,Fresh&Easy,33
10,Walmart,26
11,Numero_uno,25
12,Whole_Foods,23
13,Superior_grocers,22
14,Vallarta,19
15,Sprouts,19
16,El_Super,19
17,Costco_Wholesale,18
18,Aldi,18
19,Stater_bros,18
20,Jons,17
21,Northgate,14
22,Grocery_Outlet,12
23,Kmart,11
24,Gelsons,10
25,Super_A_food,9
26,Best_way_supermarket,9
27,Top_valu,8
28,99 Ranch Market,8
29,Big_saver_food,8
30,Payless_food,7
31,Island_Pacific,7
32,Big_k_mart,6
33,Haggen,5
34,Seafood_city,5
35,Buy_low,5
36,Valu_plus,5
37,Sams_club,5
38,R_ranch,4
39,H_mart,4
40,Carniceria_Vallarta,4
41,Super_king,4
42,Gigante,3
43,Hong_kong_supermarket,3
44,Hows,2
45,Amazon,2
46,Galleria,1
