,index,Store_Chain
0,Ralphs,45
1,Vons,37
2,Smart&final,33
3,Target,25
4,Mother_Nutrition,23
5,Albertsons,20
6,Trader_joes,19
7,Food_4_Less,16
8,Whole_Foods,15
9,Sav_on_drug,15
10,Fresh&Easy,13
11,Sprouts,10
12,Stater_bros,10
13,Walmart,10
14,Jons,10
15,Numero_uno,9
16,Gelsons,7
17,Aldi,5
18,Superior_grocers,5
19,Vallarta,5
20,Costco_Wholesale,4
21,El_Super,4
22,H_mart,3
23,Grocery_Outlet,3
24,Best_way_supermarket,3
25,Super_A_food,3
26,Island_Pacific,3
27,Haggen,3
28,Valu_plus,3
29,Northgate,3
30,Seafood_city,2
31,99 Ranch Market,2
32,Carniceria_Vallarta,2
33,Super_king,2
34,Payless_food,2
35,Big_k_mart,2
36,Top_valu,1
37,Kmart,1
38,Amazon,1
39,Big_saver_food,1
40,Buy_low,1
41,Galleria,1
