,index,Store_Chain
0,Ralphs,52
1,Smart&final,38
2,Target,32
3,Vons,31
4,Albertsons,27
5,Mother_Nutrition,25
6,Trader_joes,23
7,Sav_on_drug,23
8,Food_4_Less,17
9,Fresh&Easy,16
10,Walmart,14
11,Whole_Foods,14
12,Jons,12
13,Costco_Wholesale,9
14,Numero_uno,9
15,Aldi,9
16,Sprouts,8
17,Vallarta,8
18,Superior_grocers,8
19,Stater_bros,8
20,Island_Pacific,7
21,El_Super,7
22,Northgate,6
23,Big_saver_food,5
24,Grocery_Outlet,5
25,Kmart,5
26,H_mart,4
27,Payless_food,4
28,99 Ranch Market,4
29,Sams_club,4
30,Seafood_city,4
31,Gelsons,4
32,Haggen,3
33,Carniceria_Vallarta,3
34,Super_A_food,2
35,Top_valu,2
36,Hong_kong_supermarket,2
37,Amazon,2
38,Super_king,2
39,Valu_plus,2
40,Buy_low,2
41,Best_way_supermarket,2
42,Big_k_mart,2
43,Hows,1
44,Galleria,1
45,Gigante,1
46,R_ranch,1
