,index,Store_Chain
0,Smart&final,34
1,Ralphs,33
2,Vons,24
3,Albertsons,21
4,Target,20
5,Mother_Nutrition,17
6,Sav_on_drug,16
7,Food_4_Less,13
8,Fresh&Easy,12
9,Trader_joes,10
10,Whole_Foods,10
11,Numero_uno,9
12,Jons,8
13,Top_valu,7
14,Superior_grocers,7
15,Vallarta,7
16,Northgate,7
17,El_Super,6
18,Sprouts,5
19,Walmart,5
20,Grocery_Outlet,4
21,Big_saver_food,4
22,Stater_bros,4
23,Aldi,4
24,Costco_Wholesale,3
25,Carniceria_Vallarta,3
26,Gelsons,3
27,Kmart,3
28,Payless_food,3
29,Best_way_supermarket,3
30,Valu_plus,3
31,Island_Pacific,2
32,Haggen,2
33,Buy_low,2
34,Big_k_mart,2
35,R_ranch,2
36,Super_A_food,2
37,Seafood_city,1
38,Sams_club,1
39,99 Ranch Market,1
40,H_mart,1
