LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002754901-0002-3,MOISES CLEMENTE,THE REAL SNACK STORE,5526 AVALON BLVD,LOS ANGELES,90011-5116,5526 AVALON 90011-5116,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,02/02/2015,,"(33.9922, -118.2651)"
0002869486-0001-4,LETS WORK ALL INC,7-ELEVEN STORE 39763A,3079 N SAN FERNANDO ROAD,LOS ANGELES,90065-1410,3079 SAN FERNANDO 90065-1410,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/01/2016,,"(34.1144, -118.2454)"
0002870509-0001-8,MAURA CALIXTO VELAZQUEZ,VELAZQUEZ MINI MARKET,8504 S BROADWAY,LOS ANGELES,90003-3335,8504 BROADWAY 90003-3335,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,11/19/2015,,"(33.9614, -118.2782)"
0002870898-0001-1,HELLUVA GOOD TIME INC,T & J MARKET,9025 S MAIN STREET,LOS ANGELES,90003-3756,9025 MAIN 90003-3756,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,12/03/2015,,"(33.9544, -118.2738)"
0002807581-0001-7,"BIG 6 HOLDINGS, INC.",,550 S RAMPART BLVD,LOS ANGELES,90057-2602,550 RAMPART 90057-2602,550 S RAMPART BLVD,LOS ANGELES,90057-2602,445100,Grocery stores (including supermarkets & convenience stores without gas),1,01/01/2015,,"(34.0629, -118.281)"
0002595710-0002-8,DANIEL AREGA DEMEKE,B SAVER DISCOUNT STORE,2206   BEVERLY BLVD   UNIT #B,LOS ANGELES,90057-2232,2206 BEVERLY 90057-2232,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/13/2016,,"(34.067, -118.2718)"
0000796051-0001-1,THE VONS COMPANIES INC,VONS #2100 | VONS 2100,9860 NATIONAL BLVD,LOS ANGELES,90034-2713,9860 NATIONAL 90034-2713,POST OFFICE BOX #29096,PHOENIX,85038-9096,445100,Grocery stores (including supermarkets & convenience stores without gas),5,01/01/1968,,"(34.0307, -118.4019)"
0000032242-0011-0,SMART & FINAL STORES LLC,SMART FINAL #310,1216 COMPTON AVENUE,LOS ANGELES,90021-2331,1216 COMPTON 90021-2331,POST OFFICE BOX #512377,LOS ANGELES,90051-0377,445100,Grocery stores (including supermarkets & convenience stores without gas),14,02/01/1960,,"(34.0278, -118.242)"
0000782863-0001-3,JAG CONVENIENCE INC,RUSSELL'S CONVENIENCE | RUSSELL'S CONVENIENCE #702,333 S HOPE STREET SUITE #C-120,LOS ANGELES,90071-3049,333 HOPE 90071-3049,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,07/31/2004,,"(34.0534, -118.2535)"
0002948977-0001-1,SAMUEL LIM,VIRGIL FARM MARKET,868 N VIRGIL AVENUE,LOS ANGELES,90029-2941,868 VIRGIL 90029-2941,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/15/2017,,"(34.087, -118.2868)"
