,index,Store_Chain
0,Ralphs,145
1,Vons,111
2,Smart&final,99
3,Albertsons,97
4,Target,76
5,Mother_Nutrition,65
6,Trader_joes,60
7,Food_4_Less,54
8,Walmart,49
9,Fresh&Easy,47
10,Sav_on_drug,44
11,Superior_grocers,33
12,Whole_Foods,33
13,Numero_uno,30
14,Stater_bros,29
15,El_Super,28
16,Sprouts,27
17,Vallarta,27
18,Aldi,27
19,Costco_Wholesale,26
20,Northgate,20
21,Haggen,19
22,Jons,19
23,Gelsons,17
24,Grocery_Outlet,16
25,Kmart,14
26,Super_A_food,13
27,Big_saver_food,13
28,Payless_food,11
29,Best_way_supermarket,10
30,Big_k_mart,10
31,99 Ranch Market,10
32,Sams_club,10
33,Top_valu,9
34,Buy_low,8
35,Valu_plus,8
36,Island_Pacific,8
37,Seafood_city,7
38,H_mart,7
39,Gigante,7
40,R_ranch,7
41,Super_king,6
42,Hows,6
43,Hong_kong_supermarket,5
44,Amazon,5
45,Carniceria_Vallarta,4
46,Galleria,1
